Scientific name,Count
Calliteara pudibunda,87343
Colotois pennaria,86884
Eilema complana,86810
Harmonia axyridis,86017
Leptologia macilenta,85888
Mercurialis perennis,85621
Bombus lapidarius,85416
Lutra lutra,85011
Acronicta rumicis,84460
Rumex crispus,84415
Sonchus asper,83827
Cerapteryx graminis,83818
Molinia caerulea,83738
Euplexia lucipara,83683
Equisetum arvense,83609
Diaphora mendica,83584
Notodonta dromedarius,83478
Kindbergia praelonga,83444
Pyrgus malvae,83439
Agrotis clavis,83375
Xestia sexstrigata,82332
Colocasia coryli,82179
Xanthorhoe ferrugata,81724
Eupithecia abbreviata,81331
Primula vulgaris,81166
Lycophotia porphyrea,81011
Perizoma alchemillata,80862
Triodia sylvina,80861
Allophyes oxyacanthae,80750
Mentha aquatica,80575
Branta bernicla,80549
Sterna paradisaea,80369
Scotopteryx chenopodiata,80122
Lapsana communis,79504
Vicia cracca,79356
Operophtera brumata,79329
Loxia curvirostra,79216
Betula pendula,79122
Mesapamea secalis,78925
Arctia caja,78871
Hemithea aestivaria,78666
Succisa pratensis,78603
Limenitis camilla,78556
Brachythecium rutabulum,78284
Galium saxatile,78276
Zootoca vivipara,78242
Potentilla reptans,78013
Bufo bufo,77598
Idaea seriata,77573
Xestia baja,77290
Senecio vulgaris,77259
Ardea alba,77202
Gavia immer,77087
Agrotis ipsilon,76473
Thera britannica,76470
Lagopus lagopus,76291
Phalaris arundinacea,76071
Jacobaea vulgaris,76054
Alsophila aescularia,75781
Anguis fragilis,75772
Galium verum,75441
Leptologia lota,75206
Scorzoneroides autumnalis,75182
Alliaria petiolata,75116
Polyommatus bellargus,74931
Solanum dulcamara,74764
Calidris maritima,74756
Lotus pedunculatus,74461
Carex flacca,74415
Juncus articulatus,74390
Acer campestre,73981
Ennomos fuscantaria,73943
Fratercula arctica,73824
Luzula campestris,73558
Libellula depressa,73499
Mesoligia furuncula,73448
Galium palustre,73251
Leucanthemum vulgare,73153
Brachypodium sylvaticum,73088
Amphipyra pyramidea,72964
Acronicta psi/tridens,72657
Arum maculatum,72338
Ranunculus flammula,72324
Hadena bicruris,72244
Matricaria discoidea,72007
Rhytidiadelphus squarrosus,71885
Oxyura jamaicensis,71799
Vaccinium myrtillus,71714
Lestes sponsa,71618
Iris pseudacorus,71208
Tussilago farfara,70476
Tringa erythropus,70275
Herminia grisealis,70219
Vicia sepium,70182
Anarta trifolii,69766
Thalpophila matura,69595
Oxalis acetosella,69474
Stercorarius parasiticus,69082
Lithophane leautieri,69004
Cosmorhoe ocellata,68855
Apamea remissa,68735
Athyrium filix-femina,67905
Sonchus oleraceus,67878
Arvicola amphibius,67570
Cirrhia icteritia,67463
Agriopis marginaria,67441
Capsella bursa-pastoris,67379
Carex nigra,67094
Holcus mollis,67050
Drepana falcataria,66936
Trifolium dubium,66731
Stellaria holostea,66522
Epilobium montanum,66403
Medicago lupulina,65846
Phleum pratense,65805
Anorthoa munda,65705
Sagina procumbens,65282
Conopodium majus,65147
Erannis defoliaria,64753
Festuca rubra agg.,64582
Scopula imitaria,64335
Salix caprea,64321
Elytrigia repens,64039
Taraxacum officinale agg.,63959
Carex panicea,63934
Orthetrum cancellatum,63572
Phoenicurus ochruros,63535
Aythya marila,63320
Turdus torquatus,63231
Stercorarius skua,63224
Chloroclystis v-ata,63052
Cardamine flexuosa,62764
Poa pratensis,62726
Caltha palustris,62645
Autographa jota,62450
Lamium album,62165
Calliergonella cuspidata,61957
Rosa canina agg.,61882
Cupido minimus,61875
Geranium dissectum,61838
Leucania comma,61816
Alopecurus pratensis,61784
Aegopodium podagraria,61764
Diarsia brunnea,61745
Eupithecia exiguata,61727
Juncus acutiflorus,61623
Eupsilia transversa,61589
Linaria flavirostris,61362
Eupithecia pulchellata,61343
Salmo trutta,61040
Poecilocampa populi,60916
Hydrocoloeus minutus,60868
Pilosella officinarum,60728
Epirrita dilutata agg.,60483
Pyrrhocorax pyrrhocorax,60395
Ajuga reptans,60389
Blechnum spicant,60256
Cerastis rubricosa,60038
Calanoida,59899
Phyllitis scolopendrium,59728
Myosotis arvensis,59683
Veronica beccabunga,59597
Plusia festucae,59168
Subacronicta megacephala,59123
Juncus inflexus,58914
Chiroptera,58902
Teucrium scorodonia,58798
Stellaria graminea,58657
Heracleum mantegazzianum,58353
Rumex acetosella,58271
Macroglossum stellatarum,58177
Arctium minus,58132
Crepis capillaris,58076
Panurus biarmicus,57928
Miltochrista miniata,57631
Craniophora ligustri,57619
Ulmus glabra,57283
Plagodis dolabraria,57107
Phragmites australis,57074
Lissotriton vulgaris,56750
Rumex sanguineus,56615
Glyceria fluitans,56492
Eriophorum angustifolium,56473
Artemisia vulgaris,56281
Betula pubescens,56241
Plebejus argus,56230
Thyatira batis,56098
Clangula hyemalis,55826
Persicaria maculosa,55781
Denticucullus pygmina,55778
Sympetrum sanguineum,55364
Sphinx ligustri,55359
Muscardinus avellanarius,55340
Lacerta agilis,55203
Mythimna albipuncta,54811
Pinus sylvestris,54702
Lymnocryptes minimus,54512
Nardus stricta,54440
Larus michahellis,54409
Lacanobia thalassina,53994
Atethmia centrago,53891
Xanthia togata,53854
Orthosia gracilis,53481
Photedes minima,53344
Anguilla anguilla,53305
Euphydryas aurinia,53293
Bryum capillare,53288
Rubus idaeus,53249
Cepphus grylle,53160
Lymantria monacha,53126
Lophocolea bidentata,52936
Cidaria fulvata,52914
Mnium hornum,52797
Boloria euphrosyne,52597
Dysstroma citrata,52306
Lamium purpureum,52285
Veronica persica,52207
Gortyna flavago,51945
Circaea lutetiana,51889
Crangonyx pseudogracilis/floridanus,51779
Episyrphus balteatus,51708
Noctua interjecta,51650
Apis mellifera,51467
Baetis rhodani/atlanticus,51342
Juncus conglomeratus,51291
Eupithecia subfuscata,51269
Pseudoscleropodium purum,51204
Eilema depressa,51007
Scoliopteryx libatrix,50883
Sternula albifrons,50775
Zygaena filipendulae,50558
Biston strataria,50481
Bombycilla garrulus,50352
Campanula rotundifolia,50283
Cerastium glomeratum,50281
Erica cinerea,50224
Salix cinerea,50219
Geranium molle,49736
Erythromma najas,49611
Veronica serpyllifolia,49457
Bromus sterilis,49447
Anemone nemorosa,49395
Juncus bulbosus,49391
Potentilla sterilis,49379
Plectrophenax nivalis,49269
Botaurus stellaris,49253
Hepialus humuli,49105
Malacosoma neustria,49039
Bombus lucorum,48879
Convolvulus arvensis,48849
Euphausiacea,48821
Sisymbrium officinale,48547
Erebia aethiops,48504
Silene flos-cuculi,48499
Stellaria alsine,48440
Cottus gobio,48438
Oligia strigilis,48420
Aesculus hippocastanum,48238
Hada plebeja,48181
Linum catharticum,48146
Ranunculus bulbosus,48084
Lilioceris lilii,48045
Anchoscelis litura,48006
Salmo salar,47980
Epidalea calamita,47769
Phylloscopus sibilatrix,47737
Chrysosplenium oppositifolium,47670
Ceramica pisi,47620
Polypodium vulgare,47613
Cordulegaster boltonii,47510
Primula veris,47481
Dicranum scoparium,47477
Aeshna juncea,47473
Fragaria vesca,47449
Acasis viretata,47379
Oenanthe crocata,47197
Cardamine hirsuta,47038
Watsonalla binaria,46980
Apodemus sylvaticus,46869
Rhinanthus minor,46668
Dactylorhiza fuchsii,46574
Valeriana officinalis,46526
Rhododendron ponticum,46204
Chironomidae,46143
Veronica arvensis,46028
Sparganium erectum,45999
Prunus avium,45898
Calystegia sepium,45890
Carex echinata,45876
Lycia hirtaria,45822
Acanthis flammea/cabaret,45792
Laspeyria flexula,45674
Salix cinerea subsp. oleifolia,45523
Earophila badiata,45211
Perizoma flavofasciata,45161
Selenia tetralunaria,45126
Nola cucullatella,44927
Phigalia pilosaria,44821
Lampropteryx suffumata,44703
Myotis daubentonii,44484
Luzula multiflora,44478
Bombus pratorum,44094
Typha latifolia,43950
Idaea trigeminata,43907
Calanus helgolandicus,43872
Poaceae,43740
Dioscorea communis,43560
Spatula querquedula,43406
Idaea fuscovenosa,43379
Myosotis scorpioides,43240
Tripleurospermum inodorum,43193
Cyclophora punctaria,43182
Tortula muralis,43116
Polygonum aviculare,43108
Sunira circellaris,43071
Oligochaeta,42897
Ceratodon purpureus,42869
Korscheltellus fusconebulosa,42816
Sonchus arvensis,42634
Motacilla alba alba,42593
Hoplodrina octogenaria/blanda,42511
Juncus squarrosus,42472
Mythimna conigera,42426
Scrophularia nodosa,42277
Epilobium palustre,42248
Amphipyra pyramidea agg.,42110
Dryopteris affinis,41993
Nola confusalis,41802
Acartia,41735
Cornus sanguinea,41706
Hypnum cupressiforme var. cupressiforme,41486
Hypericum perforatum,41465
Luscinia megarhynchos,41437
Vipera berus,41176
Smerinthus ocellata,41164
Eupatorium cannabinum,41056
Plagiomnium undulatum,41042
Chiasmia clathrata,41036
Eremobia ochroleuca,40883
Lysimachia nemorum,40852
Equisetum fluviatile,40783
Hypericum pulchrum,40729
Alopecurus geniculatus,40370
Perizoma affinitata,40346
Bombus hypnorum,40251
Thuidium tamariscinum,40250
Baetis,40244
Idaea rusticata,40162
Tiliacea aurago,40064
Calidris ferruginea,40041
Castor fiber,39992
Carex viridula subsp. oedocarpa,39926
Eupithecia absinthiata,39808
Lullula arborea,39786
Palomena prasina,39610
Atrichum undulatum,39553
Decapoda,39548
Amblystegium serpens,39500
Calopteryx virgo,39454
Cytisus scoparius,39387
Cydalima perspectalis,39372
Viola palustris,39310
Agrimonia eupatoria,39088
Calanus,38981
Hylaea fasciaria,38933
Scrophularia auriculata,38930
Epirrita dilutata,38801
Narthecium ossifragum,38703
Eugnorisma glareosa,38614
Sympetrum danae,38601
Allium ursinum,38571
Epiphyas postvittana,38557
Rhyacophila dorsalis,38522
Agrostis canina,38446
Rattus norvegicus,38422
Ligustrum vulgare,38373
Hydrobates pelagicus,38085
Anticlea derivata,38053
Taxus baccata,38046
Rhinolophus hipposideros,38011
Leontodon hispidus,38002
Eleocharis palustris,37849
Carex hirta,37806
Curruca undata,37791
Actinopterygii,37697
Dryobates minor,37629
Luzula sylvatica,37562
Macaria liturata,37463
Geometra papilionaria,37417
Asterias rubens,37390
Helophilus pendulus,37354
Calidris minuta,37269
Achillea ptarmica,37252
Eristalis pertinax,37220
Salix euxina x alba = S. x fragilis,37197
Equisetum palustre,37126
Natrix helvetica,37114
Veronica officinalis,37099
Lewinskya affinis,36865
Polymixis lichenea,36688
Tripos fusus,36624
Carex remota,36589
Plecotus auritus,36542
Sericostoma personatum,36535
Chaetognatha,36391
Rhizedra lutosa,36328
Metzgeria furcata,36322
Menophra abruptaria,36311
Hydrocotyle vulgaris,36242
Hypnum jutlandicum,36183
Festuca ovina,36172
